,28015
2018-08-20,0.8
2018-08-21,0.779
2018-08-22,0.809
2018-08-23,1.04
2018-08-24,1.47
2018-08-25,1.39
2018-08-26,1.33
2018-08-28,1.48
2018-08-29,1.23
2018-08-30,1.09
2018-08-31,1.04
2018-09-01,0.914
2018-09-02,0.883
2018-09-03,0.8759999999999999
2018-09-04,0.899
2018-09-05,0.858
2018-09-06,0.888
2018-09-07,0.97
2018-09-08,1.08
2018-09-09,1.05
2018-09-11,0.9840000000000001
2018-09-12,0.982
2018-09-13,0.9540000000000001
2018-09-14,0.8909999999999999
2018-09-15,0.951
2018-09-16,1.15
2018-09-17,1.2
2018-09-18,1.31
2018-09-19,1.15
2018-09-20,1.35
2018-09-21,2.01
2018-09-22,2.45
2018-09-23,1.93
2018-09-24,1.52
2018-09-25,1.29
2018-09-26,1.2
2018-09-27,1.11
2018-09-28,1.05
2018-09-29,1.01
2018-09-30,1.05
2018-10-01,0.9890000000000001
2018-10-02,0.988
2018-10-03,1.06
2018-10-04,1.05
2018-10-05,1.06
2018-10-06,1.17
2018-10-07,1.36
2018-10-08,1.21
2018-10-09,1.15
2018-10-10,1.13
2018-10-11,1.07
2018-10-12,0.996
2018-10-13,0.978
2018-10-14,1.27
2018-10-15,1.74
2018-10-16,1.77
2018-10-17,1.43
2018-10-18,1.26
2018-10-19,1.17
2018-10-20,1.05
2018-10-21,1.06
2018-10-22,1.07
2018-10-23,1.05
2018-10-24,1.07
2018-10-25,1.06
2018-10-26,1.09
2018-10-27,1.11
2018-10-28,1.07
2018-10-29,1.06
2018-10-30,1.1
2018-10-31,1.08
2018-11-01,1.06
2018-11-02,1.1
2018-11-03,1.02
2018-11-04,1.08
2018-11-05,1.1
2018-11-06,1.03
2018-11-07,1.1
2018-11-08,1.24
2018-11-09,1.15
2018-11-10,1.34
2018-11-12,1.31
2018-11-13,1.21
2018-11-14,1.08
2018-11-15,1.06
2018-11-16,1.02
2018-11-17,0.978
2018-11-18,1.02
2018-11-19,1.04
2018-11-20,1.2
2018-11-21,1.52
2018-11-22,1.58
2018-11-23,1.44
2018-11-24,1.27
2018-11-25,1.2
2018-11-26,1.15
2018-11-27,1.32
2018-11-28,2.14
2018-11-29,2.41
2018-11-30,2.1
2018-12-01,1.71
2018-12-02,1.68
2018-12-03,1.71
2018-12-04,1.74
2018-12-05,1.75
2018-12-06,2.01
2018-12-07,2.1
2018-12-08,2.64
2018-12-09,2.38
2018-12-10,2.0
2018-12-11,1.77
2018-12-12,1.57
2018-12-13,1.45
2018-12-14,1.35
2018-12-15,1.42
2018-12-16,1.93
2018-12-17,1.93
2018-12-18,1.88
2018-12-19,2.54
2018-12-20,2.47
2018-12-21,2.66
2018-12-22,3.06
2018-12-23,3.37
2018-12-24,3.79
2018-12-25,3.16
2018-12-26,2.44
