,33013,orig,nn_m,nn_std
1953-09-06,0.382,0.382,0.29377361598841817,0.011527574204049885
1953-09-07,0.382,0.382,0.35954925753492617,0.0104582154431401
1953-09-08,0.34,0.34,0.35526183362749847,0.010054770922805285
1953-09-09,0.34,0.34,0.3338369185025015,0.007387375052793932
1953-09-10,0.34,0.34,0.34344551345235647,0.007553885748473801
1953-09-11,0.34,0.34,0.35408513647831436,0.008576194512651064
1953-09-12,0.34,0.34,0.3472819626923377,0.0066707652623559455
1953-09-13,0.34,0.34,0.3404966119359214,0.004695935803113997
1953-09-14,0.34,0.34,0.3388981299488929,0.004615628506058445
1953-09-15,0.34,0.34,0.2989643728511018,0.00809610875468359
1953-09-16,0.425,0.425,0.3412842403454248,0.0070659015859467
1953-09-17,0.48100000000000004,0.48100000000000004,0.46394483513110124,0.010411671790162575
1953-09-18,0.524,0.524,0.4558802935808036,0.01406378558134728
1953-09-19,0.524,0.524,0.4885537006061207,0.011988487593256976
1953-09-20,0.425,0.425,0.4479275377676175,0.00994555947781809
1953-09-21,0.425,0.425,0.41600060474715755,0.009114788246739962
1953-09-22,0.425,0.425,0.41228726966160695,0.008367497674574835
1953-09-23,0.34,0.34,0.4639136433255041,0.008680366042241993
1953-09-24,0.425,0.425,0.3957590253303815,0.015000280976723769
1953-09-25,0.425,0.425,0.4185087584609872,0.015369222134230648
1953-09-26,0.425,0.425,0.43144120305852707,0.013172065130504363
1953-09-27,0.524,0.524,0.4028056992202114,0.01154679654032407
1953-09-28,0.524,0.524,0.49162842124836914,0.014772649218477976
1953-09-29,0.48100000000000004,0.48100000000000004,0.49942703954116746,0.011716894266880312
1953-09-30,0.524,0.524,0.5096524122656031,0.01130477544285011
1953-10-01,0.48100000000000004,0.48100000000000004,0.5200592228228721,0.012201432745376497
1953-10-02,0.48100000000000004,0.48100000000000004,0.45708038038143195,0.012273898285238295
1953-10-03,0.48100000000000004,0.48100000000000004,0.4869391574658561,0.008200051097734421
1953-10-04,0.48100000000000004,0.48100000000000004,0.4290597028916356,0.014131409746469066
