,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1974-02-06,0.40015087,0.40530396,0.43523246,0.37204114,0.4780149,0.47544184,0.41939658,0.44890633,0.43297976,0.44894978,0.40712482,0.41941807,0.4471551,0.44412914,0.4186858,0.43079513,0.45769003,0.4199006,0.36663723,0.44965705
1974-02-07,0.44732702,0.4584182,0.45748985,0.43650037,0.49551937,0.4602045,0.4405027,0.49670357,0.4842947,0.48600766,0.43219525,0.45023802,0.4583139,0.43282482,0.46576017,0.4704022,0.4610806,0.45323926,0.40725243,0.45396292
1974-02-08,0.48517424,0.48756027,0.48424822,0.5376574,0.47499442,0.53583777,0.47208825,0.5889522,0.5017615,0.5153651,0.47958368,0.4991782,0.51658267,0.48243454,0.5167286,0.53667426,0.47596568,0.54752547,0.45233035,0.48954022
1974-02-09,0.971187,0.8278384,0.7887633,0.87435406,0.8872878,0.97460055,0.83367336,0.9325424,1.0118194,0.681938,0.62276214,0.8510886,0.7997399,0.5815996,0.8830896,0.62109405,0.8042584,0.79575336,0.76159453,0.72428983
1974-02-10,0.6996039,0.7538547,0.63821894,0.5377124,0.7731068,0.8235947,0.7610836,0.6933721,0.95150876,0.6203112,0.6817196,0.76224154,0.729858,0.63271284,0.6997553,0.64986074,0.74050504,0.6884938,0.5811964,0.86901224
1974-02-11,0.8877078,0.77126014,0.85044956,0.77772063,0.7395024,0.6519569,0.73260635,0.8339574,0.8672015,0.7591196,0.75551313,0.85721785,0.77560115,0.5801861,0.8105069,0.6467416,0.62890905,0.731761,0.79126203,0.8036303
1974-02-12,0.7624378,0.71523196,0.600627,0.7438635,0.7126342,0.73874974,0.7059703,0.8741861,0.7254815,0.9277515,0.78752965,0.85566235,0.7442442,0.86140966,0.6913209,0.81162316,0.7784194,0.773875,0.7694825,0.9947856
1974-02-13,0.8678656,0.72650766,0.7919792,0.828279,0.8634503,0.97097945,0.821573,0.7067384,0.863823,0.8176948,0.8234867,0.81220275,0.7494373,0.7543824,0.75825346,0.9123428,0.8046337,0.9135912,0.9624301,0.85263366
1974-02-14,0.8415258,0.809254,0.80860144,0.87434256,0.93306816,0.9415889,0.88007927,1.1028135,0.8642902,0.8576409,0.81830823,0.87580156,0.7949119,0.87802005,0.93150675,0.8773214,0.89759713,1.0984352,0.9895265,0.9159851
1974-02-15,1.1722776,1.1134899,1.0813663,1.2033691,1.0890586,1.1269324,1.2772386,1.2288586,0.9335806,1.1172507,0.966129,1.2319322,1.0858899,1.0872451,1.1499854,1.1152396,1.1943145,1.3450674,1.2296895,1.0300274
1974-02-16,0.998524,0.87792104,0.98331636,0.8294082,0.8464706,0.9761913,0.8802187,0.96314234,0.91681594,0.9441276,0.7960061,0.8454911,0.9429995,0.98315567,0.8810708,0.8350544,0.8872347,0.99718124,0.9178593,1.0275638
1974-02-17,0.6617636,0.70312184,0.78820056,0.6579998,0.6708946,0.7178302,0.73273546,0.8147773,0.75043803,0.7785151,0.6686489,0.8131401,0.69525886,0.7361405,0.715453,0.8044804,0.6897368,0.6852744,0.72165036,0.81461245
1974-02-18,0.6954058,0.6190502,0.67105705,0.75144076,0.80753183,0.67028344,0.6549066,0.7634912,0.6715097,0.7929751,0.68575007,0.69282764,0.5867283,0.67213476,0.61505723,0.73802626,0.6721093,0.6551891,0.7454791,0.70758885
1974-02-19,0.5971851,0.61099774,0.561782,0.6516873,0.55990815,0.6176418,0.57140326,0.65544415,0.60125333,0.6693805,0.655405,0.6385662,0.59230196,0.5602498,0.6573589,0.58887243,0.49092984,0.65811604,0.6446855,0.53067553
1974-02-20,0.4791652,0.5476069,0.46809617,0.5459567,0.58391726,0.5021095,0.5496636,0.5330469,0.5986795,0.6280515,0.5700368,0.66293854,0.5741732,0.5007461,0.554345,0.5915123,0.51687217,0.5723253,0.6086844,0.4814063
1974-02-21,0.44197118,0.5229385,0.4708881,0.49770766,0.5484936,0.48774526,0.5028168,0.5531069,0.55135214,0.5934151,0.5364235,0.55093855,0.49258947,0.5166422,0.5075206,0.568488,0.54819626,0.5378412,0.56722903,0.49503127
1974-02-22,0.4707396,0.5278199,0.54990244,0.5893102,0.5507548,0.47065082,0.55408514,0.56508,0.5166737,0.567937,0.51725465,0.54736,0.4780233,0.5476593,0.50006354,0.55945987,0.55447024,0.5376426,0.5794698,0.53019226
1974-02-23,0.46913913,0.46664295,0.53804404,0.5207864,0.4777969,0.3988985,0.5336047,0.48911285,0.48515555,0.5407659,0.48782396,0.5472543,0.453874,0.5056762,0.4799065,0.507685,0.5456559,0.52780205,0.545419,0.530053
1974-02-24,0.4488976,0.5004259,0.4697807,0.43976367,0.48170185,0.46557933,0.46272603,0.48353273,0.48051277,0.5286571,0.4471187,0.51933897,0.4883833,0.5323045,0.4840625,0.48731005,0.5021337,0.48636752,0.5318538,0.54443705
1974-02-25,0.47313344,0.477754,0.5228438,0.5111095,0.48625973,0.5196295,0.49140942,0.4872043,0.48325494,0.51868767,0.5001967,0.51712614,0.49932596,0.50518984,0.50141627,0.4612249,0.49708575,0.4583753,0.5331354,0.56014997
1974-02-26,0.48334926,0.4563733,0.54550654,0.52910197,0.5045053,0.53850913,0.49304226,0.5081494,0.46471402,0.51683086,0.5014256,0.48538032,0.49536508,0.5079562,0.47687143,0.45642328,0.49152446,0.46902648,0.49500605,0.56691325
1974-02-27,0.48177868,0.459375,0.5142751,0.44652498,0.4660352,0.5227345,0.4611894,0.48208916,0.44325155,0.5301777,0.4574256,0.44822514,0.47879297,0.53703815,0.48281556,0.45010045,0.5009782,0.48512337,0.49708423,0.5132718
1974-02-28,0.5084605,0.46401837,0.4528129,0.4542591,0.4419843,0.4981423,0.48038787,0.4886165,0.45801732,0.52555805,0.45602787,0.46043554,0.48842856,0.51937324,0.47499198,0.42517412,0.48467845,0.4950036,0.5083065,0.5201145
1974-03-01,0.4896044,0.53664774,0.51528764,0.48424703,0.5591266,0.5126393,0.5153971,0.5530444,0.5086361,0.5306778,0.5038332,0.46286646,0.52341694,0.59697795,0.49596548,0.47628668,0.56067556,0.5735609,0.52830297,0.5268621
1974-03-02,0.48304188,0.531222,0.5041415,0.46971554,0.47546667,0.5368686,0.47969854,0.50632906,0.4394428,0.55766886,0.50582534,0.47511944,0.5149969,0.55027807,0.51580155,0.48505452,0.55441636,0.52803725,0.5266329,0.55033803
1974-03-03,0.45461172,0.4693134,0.44195628,0.44653234,0.50319636,0.45080787,0.5209959,0.4807483,0.47657025,0.49386922,0.42780077,0.49633056,0.46191487,0.4827099,0.50024486,0.5083925,0.45419824,0.5372622,0.484155,0.5244379
1974-03-04,0.45425493,0.46380958,0.41451195,0.4624977,0.4706503,0.45141223,0.48684746,0.41897336,0.4663447,0.48107478,0.45317477,0.5068675,0.4539699,0.44603193,0.5116469,0.5011718,0.47507447,0.46483994,0.4547333,0.48936653
1974-03-05,0.5335735,0.49068874,0.42086956,0.5391481,0.46721426,0.49066335,0.4794979,0.48658723,0.5473336,0.47755215,0.49140877,0.49982938,0.5043125,0.45627674,0.51386315,0.51573366,0.5223655,0.4640166,0.48616937,0.52731913
1974-03-06,0.46831262,0.47248396,0.49752247,0.4995183,0.48316205,0.4475087,0.51772606,0.47837812,0.48038062,0.4775444,0.4627406,0.49183106,0.4899889,0.4839578,0.49297547,0.49609023,0.46947962,0.49239933,0.45392236,0.53257704
1974-03-07,0.46587688,0.4243903,0.4385821,0.4429723,0.4343906,0.4489031,0.47271734,0.4322398,0.44582456,0.46650648,0.41351908,0.46549454,0.43326733,0.44178808,0.45363313,0.44475108,0.4174739,0.4629638,0.45768514,0.48727867
1974-03-08,0.44385892,0.42326692,0.43461534,0.4353453,0.44935957,0.43077537,0.4727763,0.4170812,0.43737492,0.42843327,0.4122138,0.46097586,0.43019962,0.41568562,0.43274534,0.42890242,0.3956852,0.45996305,0.4376983,0.48848137
1974-03-09,0.43217653,0.47330946,0.44044894,0.45197493,0.47972366,0.4630182,0.4602127,0.4128365,0.41684696,0.4368594,0.44175297,0.48438665,0.43912756,0.43216795,0.4460588,0.47145173,0.412902,0.47012854,0.46941745,0.46680942
1974-03-10,0.42643273,0.45524755,0.45015958,0.4435803,0.4097759,0.43294325,0.48220167,0.43168634,0.39187515,0.42094085,0.42379534,0.43935257,0.4120309,0.4291818,0.4360785,0.42169812,0.44170892,0.4086073,0.44055465,0.47521445
1974-03-11,0.43537313,0.45246404,0.4300544,0.4259655,0.42338035,0.44638753,0.4389414,0.41712034,0.4124957,0.43082008,0.41619515,0.4236066,0.41692123,0.43454802,0.3908282,0.41928387,0.43472555,0.42878762,0.428521,0.48249555
1974-03-12,0.46601278,0.44299176,0.42521065,0.41929728,0.4540241,0.44944194,0.48030284,0.44488925,0.46055764,0.45096475,0.420924,0.43569848,0.46701458,0.4819664,0.41392875,0.45658964,0.4423872,0.4546008,0.45913947,0.46632624
1974-03-13,0.46021828,0.43166253,0.44486988,0.4126147,0.46753258,0.42719427,0.46239603,0.45278144,0.43486887,0.46877885,0.42081338,0.4485087,0.45411244,0.48719037,0.43501872,0.4796972,0.41164437,0.4837275,0.45105252,0.48338005
1974-03-14,0.42908946,0.42860064,0.45631677,0.40750387,0.45493448,0.4386977,0.45902,0.39001027,0.4117265,0.44149086,0.38584095,0.48402283,0.46155486,0.44006127,0.4359244,0.49420157,0.40484458,0.46591896,0.43069848,0.47106126
1974-03-15,0.47889754,0.4525426,0.44521528,0.47466683,0.46546155,0.5179452,0.48460114,0.4251665,0.46085334,0.42284957,0.39899296,0.47242457,0.471885,0.4343704,0.45369,0.5147071,0.4793772,0.47927016,0.4841365,0.47829005
1974-03-16,0.42658016,0.48967716,0.49838912,0.48909238,0.45574918,0.5575483,0.4258206,0.46142682,0.49342108,0.470452,0.4328552,0.49886557,0.5101082,0.51401687,0.5010505,0.5583068,0.48062158,0.49766895,0.497248,0.52091336
1974-03-17,0.41215438,0.48342857,0.50512916,0.47060063,0.49110362,0.4808947,0.4341377,0.44514614,0.4484196,0.44948038,0.4116754,0.5095938,0.44626278,0.52256614,0.5000825,0.5334474,0.47809246,0.47331738,0.49470666,0.5227288
1974-03-18,0.40779066,0.44922864,0.48370638,0.42325845,0.4841653,0.4462865,0.44134992,0.39728788,0.45045003,0.41392392,0.3826058,0.45818225,0.3879588,0.45667723,0.4409775,0.50191414,0.4754265,0.46236485,0.47792882,0.5466043
1974-03-19,0.3965813,0.43371946,0.44653773,0.42027065,0.42285392,0.41722217,0.4203463,0.41189495,0.4439965,0.38377118,0.39940363,0.42005035,0.4209977,0.35969213,0.43365628,0.44679448,0.47112596,0.41285378,0.45124897,0.506084
1974-03-20,0.38334194,0.44915506,0.414633,0.4475394,0.4041065,0.38030863,0.37701377,0.426161,0.40568238,0.39990574,0.4069605,0.3690862,0.40760088,0.37021273,0.42342192,0.4209459,0.47021115,0.39954966,0.45286882,0.44562984
1974-03-21,0.38578054,0.43184346,0.39830005,0.4383684,0.37961665,0.37988836,0.37984246,0.40102193,0.36592317,0.3990722,0.41429907,0.37840322,0.34527853,0.32487208,0.3814836,0.3766397,0.43982944,0.3614411,0.41563237,0.42261082
1974-03-22,0.38117957,0.42887542,0.41261268,0.41636983,0.3807951,0.38233876,0.37950534,0.3905989,0.36631075,0.39078274,0.40063006,0.37933716,0.34897923,0.35805357,0.3694576,0.38421798,0.40857124,0.39446604,0.39060265,0.44367352
1974-03-23,0.3922303,0.42035368,0.38058,0.3753182,0.3994579,0.36489636,0.40818042,0.35146788,0.36509055,0.40508327,0.35957426,0.39000198,0.3699645,0.37655643,0.3654424,0.36581472,0.36370793,0.39846388,0.38225213,0.43475577
