,orig
2019-03-01,0.392
2019-03-02,0.382
2019-03-03,0.399
2019-03-04,0.386
2019-03-05,0.403
2019-03-06,0.44
2019-03-07,0.394
2019-03-08,0.393
2019-03-09,0.434
2019-03-10,0.457
2019-03-11,0.384
2019-03-12,0.497
2019-03-13,0.413
2019-03-14,0.428
2019-03-15,0.443
2019-03-16,0.462
2019-03-17,0.429
2019-03-18,0.405
2019-03-19,0.398
2019-03-20,0.396
2019-03-21,0.396
2019-03-22,0.395
2019-03-23,0.392
2019-03-24,0.392
2019-03-25,0.388
2019-03-26,0.388
2019-03-27,0.389
2019-03-28,0.387
2019-03-29,0.389
2019-03-30,0.39
2019-03-31,0.39
2019-04-01,0.392
2019-04-02,0.416
2019-04-03,0.4
2019-04-04,0.395
2019-04-05,0.393
2019-04-06,0.388
2019-04-07,0.386
2019-04-08,0.384
2019-04-09,0.418
2019-04-10,0.381
2019-04-11,0.371
2019-04-12,0.369
2019-04-13,0.344
2019-04-14,0.336
2019-04-15,0.33399999999999996
2019-04-16,0.33399999999999996
2019-04-17,0.332
2019-04-18,0.332
2019-04-19,0.33
2019-04-20,0.32899999999999996
2019-04-21,0.337
2019-04-22,0.332
2019-04-23,0.33399999999999996
2019-04-24,0.34
2019-04-25,0.33799999999999997
2019-04-27,0.33
2019-04-28,0.32799999999999996
2019-05-01,0.315
2019-05-02,0.387
2019-05-03,0.33799999999999997
2019-05-04,0.334
2019-05-05,0.327
2019-05-06,0.32899999999999996
2019-05-07,0.324
2019-05-08,0.476
2019-05-09,0.475
2019-05-10,0.37
2019-05-11,0.35200000000000004
2019-05-12,0.33799999999999997
2019-05-13,0.322
2019-05-14,0.317
2019-05-15,0.315
2019-05-16,0.312
2019-05-17,0.315
2019-05-18,0.315
2019-05-19,0.314
2019-05-20,0.312
2019-05-21,0.311
2019-05-22,0.306
2019-05-23,0.304
2019-05-24,0.303
2019-05-25,0.298
2019-05-26,0.301
2019-05-27,0.29600000000000004
2019-05-28,0.293
2019-05-29,0.295
2019-05-30,0.29
2019-05-31,0.292
2019-07-04,0.23199999999999998
2019-07-20,0.295
2019-07-21,0.22699999999999998
2019-07-22,0.221
2019-07-23,0.232
2019-07-24,0.23399999999999999
2019-07-25,0.221
2019-07-26,0.248
2019-07-27,0.398
2019-07-28,0.242
2019-07-29,0.22399999999999998
2019-07-30,0.257
2019-07-31,0.234
