,39001,nn_m,nn_std,orig
1994-03-13,80.8,80.64020216212306,0.5438633305741211,80.8
1994-03-14,77.7,77.36948496312316,0.5845512849243361,77.7
1994-03-15,78.4,74.76870307301063,0.6439525684781565,78.4
1994-03-16,78.3,77.0162888413197,0.981622286581782,78.3
1994-03-17,75.1,72.45007680977992,0.9244398470653872,75.1
1994-03-18,74.5,74.12481647944158,0.7355374328292471,74.5
1994-03-19,79.0,82.52806314906323,0.7409371352739629,79.0
1994-03-20,77.6,78.81083874340071,0.5367216169293961,77.6
1994-03-21,75.1,72.36583792040548,0.8191225955002591,75.1
1994-03-22,73.2,78.35351275807196,0.4451276953841081,73.2
1994-03-23,80.0,79.22253457030496,0.6312886231248165,80.0
1994-03-24,77.3,78.60645920310938,0.7611784930203991,77.3
1994-03-25,72.4,73.29001788821769,0.8566989369315257,72.4
1994-03-26,71.4,67.6958224669698,0.5526916718736197,71.4
1994-03-27,67.1,66.0025699370402,0.4003222979701199,67.1
1994-03-28,65.5,64.32315565546679,0.4069533834458961,65.5
1994-03-29,58.8,63.15687479697876,0.4324782735255166,58.8
1994-03-30,66.7,60.03385153199031,0.5383418563839311,66.7
1994-03-31,80.0,92.32960675279728,1.5277766221968236,80.0
1994-04-01,154.0,152.69311035788922,2.598212617151372,154.0
1994-04-02,143.0,151.77425019940725,1.5617849399171888,143.0
1994-04-03,115.0,121.31995667541507,1.3244169554851002,115.0
1994-04-04,140.0,137.3139756052302,1.1689258419373671,140.0
1994-04-05,140.0,143.9743453604936,1.9866932651602565,140.0
1994-04-06,111.0,111.51878534529223,1.7953981075486782,111.0
1994-04-07,102.0,101.50694464699015,1.054267317483308,102.0
1994-04-08,110.0,116.84672705894627,3.0365692579989703,110.0
1994-04-09,181.0,166.85557465056382,3.7140723928659223,181.0
1994-04-10,181.0,186.31200838525604,1.9831786408031515,181.0
1994-04-11,147.0,157.0642273753539,1.8398825712190103,147.0
1994-04-12,115.0,126.61585202342722,1.036839642042537,115.0
1994-04-13,110.0,107.64453144090791,1.5188459505612728,110.0
1994-04-14,106.0,105.69721317712006,1.5029788920406182,106.0
1994-04-15,94.7,104.31420531244319,1.4321994238054565,94.7
1994-04-16,97.2,105.13599908908456,1.2954148378226982,97.2
1994-04-17,87.7,95.04611539071188,1.2333315364150166,87.7
1994-04-18,80.4,74.82789369350178,0.8540870305854373,80.4
1994-04-19,67.5,71.63554504053508,0.5619092465314172,67.5
1994-04-20,72.1,63.68550709706415,0.5161925936679145,72.1
1994-04-21,67.9,67.50419495706979,0.6312196868111223,67.9
1994-04-22,62.6,64.928998598343,0.6210452845127945,62.6
1994-04-23,77.1,69.35141645921084,0.6112930322737236,77.1
1994-04-24,78.1,81.87300440507849,0.5983830520221113,78.1
1994-04-25,67.7,71.96077468892088,0.771699132486414,67.7
1994-04-26,63.9,60.771629199271146,0.5617295636272003,63.9
1994-04-27,52.6,58.968975294524775,0.4694530862492574,52.6
1994-04-28,57.1,50.87373311524362,0.3537489221835461,57.1
1994-04-29,55.4,53.31629983594485,0.44396830486896494,55.4
1994-04-30,52.8,52.52872760890566,0.4329140902350185,52.8
1994-05-01,50.6,48.32030693541479,0.3586936081453611,50.6
1994-05-02,49.6,46.404540947426604,0.3710416540711052,49.6
1994-05-03,43.1,46.10332254429103,0.3624671712643068,43.1
1994-05-04,44.9,43.33802925285501,0.5501864265914339,44.9
1994-05-05,48.4,45.824108116323174,0.5139496059784913,48.4
1994-05-06,51.7,47.03300927784966,0.5171915125595391,51.7
1994-05-07,52.5,53.351219765153246,1.0126326922865256,52.5
1994-05-08,54.9,57.056083312151785,0.5732314195383,54.9
1994-05-09,49.1,49.19035520068386,0.8741729208740884,49.1
1994-05-10,42.8,43.95292598744808,0.4510803105124917,42.8
1994-05-11,43.3,40.23290234410258,0.4306709510040821,43.3
1994-05-12,47.1,45.448487565817345,0.6837454361345919,47.1
1994-05-13,46.9,46.51847558290248,0.5088101116574345,46.9
1994-05-14,53.1,55.75345709143043,1.7489786463905737,53.1
1994-05-15,62.9,62.14906451177863,2.8620716487943465,62.9
1994-05-16,55.3,55.89990257939677,1.2408312681806999,55.3
1994-05-17,82.1,86.24903552786373,1.5069569558701137,82.1
1994-05-18,84.4,100.79693551383387,1.4625482837243933,84.4
1994-05-19,59.0,64.69230539230017,1.1057804781875242,59.0
1994-05-20,46.8,47.3103410684596,0.9859572346912584,46.8
1994-05-21,71.0,71.2812223328728,2.5911226751854315,71.0
1994-05-22,115.0,116.1305103863641,2.8350069689601978,115.0
1994-05-23,95.5,104.68837213240069,2.8556592735093487,95.5
1994-05-24,78.4,78.69823336587491,1.60655171301384,78.4
1994-05-25,72.4,66.84030520992755,1.4762392157686932,72.4
1994-05-26,97.7,82.55152233527491,1.6204615436537653,97.7
1994-05-27,128.0,110.39913358238077,1.2675768701047636,128.0
1994-05-28,96.7,112.99835160049334,1.2072642554464068,96.7
1994-05-29,60.3,81.67549827124243,1.1412031030433456,60.3
1994-05-30,64.8,50.240014585872956,0.471716010465011,64.8
1994-05-31,52.7,56.626662153921565,0.4549702456065328,52.7
1994-06-01,45.8,49.050138943308056,0.4088556867338831,45.8
1994-06-02,43.3,42.31662831905876,0.4724048773870301,43.3
1994-06-03,44.3,40.70676391969954,0.4931941201116566,44.3
1994-06-04,52.8,48.83628220574098,0.919921291278764,52.8
1994-06-05,57.5,58.35373424481632,1.2946150873719515,57.5
1994-06-06,50.5,51.733161842471546,0.6335093645948836,50.5
1994-06-07,46.4,44.58080914210273,0.7272611151636362,46.4
1994-06-08,38.3,44.833596344818474,0.553132727780334,38.3
1994-06-09,33.2,37.34014531094728,0.5667425974992139,33.2
1994-06-10,34.1,31.46148938809732,0.4532719791927546,34.1
1994-06-11,33.3,32.10754676990112,0.4628201292336338,33.3
1994-06-12,33.0,31.6932413435992,0.437970075839774,33.0
1994-06-13,31.3,31.499519496658827,0.4043323820167166,31.3
1994-06-14,24.8,31.012989969670343,0.7527773922763339,24.8
1994-06-15,22.7,24.463228655209697,0.6646639676287517,22.7
1994-06-16,20.1,23.483196046177696,0.9674976694508622,20.1
1994-06-17,19.2,20.020924585678557,0.5809013546484971,19.2
1994-06-18,20.3,18.634033884804193,0.42951498627981743,20.3
1994-06-19,19.5,19.51074931048049,0.4828623149867861,19.5
1994-06-20,19.0,19.23073417843872,0.5378773291991,19.0
1994-06-21,23.0,18.97295693151101,0.6069523280786511,23.0
1994-06-22,26.9,21.71678644670589,0.3465125407825425,26.9
1994-06-23,28.3,24.739515121236195,0.495189430558858,28.3
1994-06-24,29.5,28.780436477791447,0.6602852064454217,29.5
1994-06-25,40.7,32.3305670234204,0.8997822860106565,40.7
1994-06-26,28.8,36.057163394865796,0.5766329013989167,28.8
