,0,1,2,3,4,5,6,7,8,9
1995-05-29,0.14176035,0.26866382,0.3463363,0.30267543,0.104090124,0.18614309,0.34288484,0.38015237,0.5428171,0.23525696
1995-05-30,0.056156397,0.6315837,0.27596456,0.5688041,0.39245376,0.4336427,0.29206634,0.1623576,0.3391147,0.6268322
1995-05-31,0.4071398,0.46936712,0.36929247,0.43692398,0.31722486,0.32670093,0.58700776,0.3847354,0.14574258,0.29523098
1995-06-01,0.21401119,0.14687829,0.209687,0.19251926,0.20973666,0.25297803,0.18831001,0.29732445,0.16971701,0.1695358
1995-06-02,0.09776369,0.13832155,0.0833743,0.09005298,0.13010973,0.1604279,0.10269585,0.14048947,0.11488089,0.121240035
1995-06-03,0.21313831,0.29404432,0.3532332,0.26360413,0.24076118,0.25934035,0.28614068,0.2964499,0.27851492,0.35463402
1995-06-04,0.33379048,0.12821433,0.25810397,0.27250284,0.19693498,0.1803411,0.09746607,0.28905338,0.21127899,0.31694096
1995-06-05,0.21778488,0.17968133,0.23684973,0.22734812,0.25421304,0.19741134,0.18332501,0.2619069,0.1950646,0.26112184
1995-06-06,0.09157109,0.22300431,0.1731691,0.19072482,0.18438667,0.12092805,0.23831585,0.17435887,0.15642533,0.06854831
1995-06-07,0.15395504,0.17479111,0.230804,0.09395476,0.13099416,0.1419372,0.09502189,0.1536335,0.1582293,0.16946508
1995-06-08,0.13253826,0.09735338,0.13190141,0.070793256,0.09630921,0.15034176,0.12749366,0.09222812,0.16494814,0.092106104
1995-06-09,0.104081154,0.092150904,0.11379372,0.07772905,0.11526563,0.15672462,0.09504418,0.09207351,0.13036375,0.12886474
1995-06-10,0.11969113,0.105501935,0.09884714,0.11593493,0.14798705,0.16461442,0.101577684,0.12530151,0.15024802,0.14272083
1995-06-11,0.11092016,0.111637354,0.22021535,0.18240972,0.19267318,0.14968374,0.061932296,0.13823643,0.15489669,0.19105612
1995-06-12,0.1588496,0.1103004,0.15354711,0.075558655,0.0930395,0.13277261,0.13694169,0.13301891,0.13653862,0.104195446
