,47019,nn_m,nn_std
2002-06-22,3.89,4.099655221116452,0.11460367417242326
2002-06-23,3.13,3.113495346923894,0.08233223747793864
2002-06-24,2.76,2.716807359069526,0.0737293343981344
2002-06-25,2.61,2.6136993490743796,0.06651664439751186
2002-06-26,2.46,2.4804205571612297,0.05080610523236674
2002-06-27,2.33,2.3272257433127637,0.036332084064612746
2002-06-28,2.16,2.149212252011817,0.03959065948020968
2002-06-29,2.1,2.1328610195068705,0.04619485602353638
2002-06-30,2.11,2.1943680349772823,0.040053092091776724
2002-07-01,2.46,2.5826510984860223,0.04432993249944092
2002-07-02,4.25,4.7052175928066875,0.08136463732342968
2002-07-03,8.97,9.16223756055034,0.22703007730149669
2002-07-04,3.3,3.366465930849372,0.2793142448104566
2002-07-05,4.48,4.289061301991975,0.19420551662824062
2002-07-06,3.35,3.2025715359171127,0.10982563737250915
2002-07-07,3.15,3.366905431006583,0.09038839292881927
2002-07-08,3.89,4.459343894879702,0.12087675446089981
2002-07-09,3.8,4.143727646897834,0.16318914277505686
2002-07-10,4.6,5.194242063253724,0.17232598156426482
2002-07-11,6.96,6.937284688143011,0.24255380693420156
2002-07-12,3.85,4.877167224919489,0.12289313291619956
2002-07-13,3.08,3.4272238794969296,0.12452075385436241
2002-07-14,2.69,2.705904593177633,0.10639297868059891
2002-07-15,2.45,2.5776622201527926,0.0814038988362969
2002-07-16,2.28,2.4106546536845572,0.07225807109362065
2002-07-17,2.08,2.189088998676127,0.06969705620499987
2002-07-18,1.94,2.0288147122967417,0.06792302774375086
2002-07-19,1.88,1.9518557873002027,0.060111382266470684
2002-07-20,1.78,1.850630332690979,0.05872691129963707
2002-07-21,1.68,1.7631183449602537,0.05304497710907685
2002-07-22,1.63,1.7524436340750127,0.052838097330622676
2002-07-23,1.75,1.830385151723797,0.050763262971258855
2002-07-24,1.72,1.7073069612994352,0.04697967016153299
2002-07-25,1.51,1.5237586597208144,0.04897465603474108
2002-07-26,1.48,1.5053284238485445,0.04296983692163012
2002-07-27,1.42,1.4248769490040296,0.04237278584521387
2002-07-28,1.33,1.3271932680397875,0.03808106722607926
2002-07-29,1.25,1.2517216966292442,0.03585515026562184
2002-07-30,1.26,1.2738393630426503,0.03747440733821099
2002-07-31,2.45,2.760818884068063,0.042975177991107935
2002-08-01,3.05,3.117469544209487,0.0953836290227337
2002-08-02,1.9,1.9783299486565527,0.09333856207017711
2002-08-03,1.56,1.8079074162885167,0.07248659805393992
2002-08-04,1.38,1.2476447156584944,0.077614292045073
2002-08-05,1.26,1.1592062292768823,0.05699155787805342
2002-08-06,1.18,1.1668338435147714,0.048135776308106996
2002-08-07,1.18,1.1635980914244346,0.043261789859988235
2002-08-08,1.37,1.529880071569207,0.029473983348293927
2002-08-09,2.3,2.4481592043450195,0.06131656031661403
2002-08-10,1.82,1.887786184630325,0.08485297676413965
2002-08-11,1.47,1.4622533345380482,0.08193244136649185
2002-08-12,1.37,1.3656666411083513,0.057121978647164555
2002-08-13,1.2,1.192579157543294,0.03336148621177749
2002-08-14,1.17,1.1931298876413876,0.03623350945993215
2002-08-15,1.12,1.1586330272198884,0.035180552112799725
2002-08-16,1.05,1.070792137082742,0.038657881860334975
2002-08-17,1.2,1.1579932390301555,0.0437982247564056
2002-08-18,1.84,2.359501137023771,0.09317451944628981
2002-08-19,1.29,1.3757308639162704,0.10844476787672373
2002-08-20,1.12,0.95546913067074,0.10081928517377159
2002-08-21,1.01,0.9535622631583236,0.10754458206039895
2002-08-22,0.9690000000000001,0.993957939156547,0.04652046751021054
2002-08-23,1.88,1.2055388034476742,0.0595905104238114
2002-08-24,1.44,1.3667913897443276,0.06049803659717656
2002-08-25,1.19,1.3091634487868684,0.07967217626517124
2002-08-26,1.04,0.9749539984011897,0.0661470040197618
2002-08-27,0.9840000000000001,0.9448915815158246,0.04472477723226622
2002-08-28,0.948,0.9117725708561528,0.05003653354837583
2002-08-29,0.966,0.9805267577101594,0.04802738643200287
2002-08-30,1.03,1.0629666958458497,0.04923154028850077
2002-08-31,1.09,1.099826517432582,0.05499586892871309
2002-09-01,0.909,0.9086724498860541,0.05041210630732487
2002-09-02,0.83,0.8155478617346066,0.044554892378092535
2002-09-03,0.831,0.8175737897578425,0.04184563149640396
2002-09-04,0.9420000000000001,0.9691425843453209,0.04752710976564912
2002-09-05,0.948,0.9671144320880903,0.05332107001192857
2002-09-06,1.03,1.0977847294199128,0.04677912870975049
2002-09-07,1.18,1.189983516492915,0.049277602542116515
2002-09-08,1.25,1.2644385895509729,0.056455686089980736
2002-09-09,1.12,1.139669572381493,0.0519070761754418
2002-09-10,0.955,0.9077683005301205,0.0537869928374772
2002-09-11,0.863,0.7905146557893447,0.05334217430926831
2002-09-12,0.816,0.7395928796227688,0.05096879248678145
2002-09-13,0.799,0.771676996620027,0.05411094435871103
2002-09-14,0.7659999999999999,0.7933988179779685,0.04804762842803642
2002-09-15,0.737,0.7485015110061315,0.042564139805842116
2002-09-16,0.716,0.6986647471646096,0.04162927179616371
2002-09-17,0.708,0.6924274877462603,0.04218317094470779
2002-09-18,0.696,0.6875661125052707,0.041477688892423696
2002-09-19,0.639,0.6887073572950312,0.04600509682997946
2002-09-20,0.768,0.7201362727365778,0.045191161738769386
2002-09-21,0.6829999999999999,0.6813715693694665,0.04413413095656289
2002-09-22,0.633,0.6537701303542096,0.04458305123761288
2002-09-23,0.613,0.6128362728323495,0.0439636721634888
2002-09-24,0.617,0.5832824034903368,0.04329586440140289
2002-09-25,0.606,0.5816111917284882,0.04310257708342234
2002-09-26,0.615,0.5991968524393888,0.042777682569415575
2002-09-27,0.626,0.6190369869259935,0.04508168882928872
2002-09-28,0.615,0.5991499220045811,0.048282299544734245
2002-09-29,0.58,0.5719393067480825,0.044434674828023116
2002-09-30,0.5770000000000001,0.5745873936491194,0.04319314637734324
2002-10-01,0.597,0.6246703680839638,0.04401167002986813
2002-10-02,0.621,0.6612821602457923,0.04773675964709819
2002-10-03,0.637,0.6685896651168972,0.04793180125371261
2002-10-04,0.627,0.6003448767769091,0.045324877913093295
2002-10-05,0.5870000000000001,0.5626262406052307,0.041361276513741406
2002-10-06,0.5870000000000001,0.5819878398672408,0.042206975428746775
2002-10-07,0.591,0.5870678644800741,0.04315298922633882
2002-10-08,0.5539999999999999,0.5554646145943974,0.04351983761014364
2002-10-09,0.521,0.5629128386253043,0.044382185788534805
2002-10-10,0.523,0.5710933143448047,0.04720090295278005
2002-10-11,0.602,0.6211653291192268,0.04669853888703513
2002-10-12,0.775,0.7676499571076766,0.05085234765294752
2002-10-13,25.2,24.888213064080134,0.3668818912809095
2002-10-14,9.13,8.693910741887121,0.21822279667183503
2002-10-15,48.6,44.47971603827681,1.530730463572731
2002-10-16,18.6,17.39419701144599,0.5412077447651894
2002-10-17,19.1,19.21032050978785,0.6656819220765096
2002-10-18,14.2,14.111287074601096,0.5838471428748836
2002-10-19,9.47,8.93434313416011,0.26615203944113164
2002-10-20,11.4,10.906170339094338,0.5511630198031859
2002-10-21,16.0,15.98736844835064,0.30508060649192803
2002-10-22,17.8,18.05353793029256,0.35178337471412224
2002-10-23,12.8,12.022730205041537,0.2568151763543491
2002-10-24,9.56,9.008819385567735,0.2914524285705399
2002-10-25,14.6,12.783578818540748,0.3390980357322291
2002-10-26,15.2,14.670987698834804,0.30266196846715215
2002-10-27,11.9,12.12449201151715,0.2876264137238015
2002-10-28,10.1,9.595843004815828,0.31609167010185446
2002-10-29,8.02,7.725986219276688,0.2639825459232437
2002-10-30,6.68,6.51109586601627,0.21580402118712935
2002-10-31,5.73,5.57494414480173,0.18685123941166717
2002-11-01,7.26,7.663094830425344,0.2438979031534853
2002-11-02,35.7,35.52432405678764,0.6603028682183105
2002-11-03,46.3,42.43429994613471,0.718402894234524
2002-11-04,24.2,24.270231823924007,0.37473915249034256
